AblationType,Gamma,Lambda,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text,k_heads
last-row-paired,-3.0,3.0,36.06448817253113,35.264856815338135,6.600871801376343,87.20115280151367,45.52238805970149,1.627906976744186,402,430,17.73165137614679,5.575688073394495,"[1, 124, 204, 229, 263, 353]",10
last-row-paired,-2.5,2.5,48.49489772319794,36.70265507698059,6.705369472503662,89.6946907043457,54.196642685851316,1.3953488372093024,417,430,12.45183486238532,5.405963302752293,"[1, 124, 204, 229, 263]",10
last-row-paired,-2.0,2.0,65.39117348194122,36.93854320049286,6.817271709442139,92.12948799133301,60.187353629976585,1.3953488372093024,427,430,8.513761467889909,5.272935779816514,"[1, 124, 204, 229, 263]",10
last-row-paired,-1.0,1.0,104.16590631008148,35.1906675696373,7.0103747844696045,96.5020980834961,72.2863741339492,0.9259259259259258,433,432,4.256880733944954,5.0389908256880735,"[124, 229, 263]",10
last-row-paired,-0.5,0.5,116.000807762146,34.18007439374924,7.048732280731201,98.20252466201782,75.05773672055427,0.9259259259259258,433,432,3.552752293577982,4.926605504587156,[263],10
last-row-paired,0.0,-0.0,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[],10
last-row-paired,0.5,-0.5,128.79400897026062,32.09037347137928,7.11805272102356,101.55061769485474,78.57142857142857,0.6944444444444444,434,432,3.080275229357798,4.818807339449541,[],10
last-row-paired,1.0,-1.0,133.24064350128174,31.239685960114002,7.141054630279541,103.0395998954773,79.26267281105991,1.160092807424594,434,431,2.9908256880733943,4.83256880733945,"[253, 256, 411]",10
last-row-paired,1.5,-1.5,137.20426511764526,30.513464368879795,7.1782379150390625,104.38600063323975,80.64516129032258,1.160092807424594,434,431,2.938073394495413,4.837155963302752,"[69, 253, 256, 411]",10
last-row-paired,2.0,-2.0,140.75375485420227,29.84396329149604,7.196691632270813,105.7960376739502,81.10599078341014,1.6203703703703702,434,432,2.8807339449541285,4.894495412844036,"[69, 130, 253, 256, 411]",10
last-row-paired,2.5,-2.5,144.4342041015625,28.741608526557684,7.222892880439758,106.82153177261353,81.79723502304147,1.8518518518518516,434,432,2.8807339449541285,4.91743119266055,"[69, 130, 253, 256, 401, 411]",10
last-row-paired,3.0,-3.0,147.45606017112732,27.27347755432129,7.324728608131409,107.53456211090088,82.02764976958525,2.314814814814815,434,432,2.86697247706422,5.059633027522936,"[5, 69, 70, 130, 253, 256, 401, 411]",10
