AblationType,Gamma,Lambda,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text
last-row-paired,-10.0,10.0,1.3573036193847656,3.2317771911621094,3.583770751953125,18.94454073905945,29.03225806451613,20.74074074074074,62,270,89.70183486238533,50.52981651376147,"[0, 1, 16, 18, 29, 30, 32, 35, 40, 49, 50, 57, 69, 78, 86, 93, 101, 105, 115, 120, 124, 132, 136, 146, 149, 157, 169, 173, 181, 192, 193, 194, 201, 203, 213, 216, 228, 234, 244, 256, 283, 288, 296, 300, 308, 327, 331, 333, 351, 353, 364, 381, 387, 388, 389, 420]"
last-row-paired,-5.0,5.0,5.519399166107178,17.553794384002686,6.5419230461120605,63.546000480651855,18.650793650793652,6.993006993006993,252,429,55.022935779816514,10.068807339449542,"[1, 3, 29, 35, 40, 47, 50, 53, 82, 100, 120, 124, 136, 149, 169, 194, 204, 244, 256, 263, 272, 277, 288, 300, 357, 364, 387, 420]"
last-row-paired,-3.0,3.0,13.308372974395752,39.0217090845108,6.305155038833618,83.29692840576172,25.737265415549597,2.7906976744186047,373,430,27.272935779816514,6.327981651376147,"[1, 100, 120, 124, 194, 204, 256, 263, 357, 364]"
last-row-paired,-2.5,2.5,21.5348641872406,43.47014832496643,6.469876050949097,87.2135763168335,33.08080808080808,1.8561484918793503,396,431,20.21559633027523,5.837155963302752,"[1, 100, 124, 204, 229, 256, 263, 357]"
last-row-paired,-2.0,2.0,37.76002508401871,44.720054149627686,6.6618430614471436,90.62927627563477,42.89156626506024,1.8561484918793503,415,431,13.676605504587156,5.5963302752293576,"[1, 100, 124, 204, 229, 256, 263, 357]"
last-row-paired,-1.5,1.5,61.2147079706192,42.86817288398743,6.854410648345947,93.6097412109375,58.0046403712297,1.6241299303944314,431,431,7.454128440366972,5.298165137614679,"[1, 124, 204, 256, 263, 357]"
last-row-paired,-1.0,1.0,91.92409908771515,39.1701255440712,6.95792555809021,96.06390380859375,68.28703703703704,1.3921113689095126,432,431,4.834862385321101,5.098623853211009,"[124, 204, 256, 263]"
last-row-paired,-0.5,0.5,112.57422852516174,35.7133454978466,7.025216817855835,98.15658378601074,74.5958429561201,0.6944444444444444,433,432,3.6674311926605503,4.954128440366972,"[256, 263]"
last-row-paired,0.0,0.0,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[]
last-row-paired,0.5,-0.5,129.79152035713196,31.009993702173233,7.125992298126221,101.22855997085571,79.03225806451613,0.6960556844547563,434,431,3.1123853211009176,4.8807339449541285,"[253, 411]"
last-row-paired,1.0,-1.0,134.22870087623596,29.097639091312885,7.1649370193481445,102.06123161315918,80.64516129032258,1.160092807424594,434,431,3.0389908256880735,4.910550458715596,"[69, 70, 130, 253, 411]"
last-row-paired,1.5,-1.5,137.93065333366394,27.4209753125906,7.219277858734131,102.52436208724976,82.02764976958525,1.8561484918793503,434,431,3.0596330275229358,4.965596330275229,"[69, 70, 130, 170, 253, 304, 411]"
last-row-paired,2.0,-2.0,141.44906497001648,25.464736867696047,7.297543048858643,102.72444820404053,82.48847926267281,1.6241299303944314,434,431,3.1077981651376145,5.112385321100917,"[69, 70, 130, 170, 253, 304, 411]"
last-row-paired,2.5,-2.5,145.50637257099152,23.265902787446976,7.591839551925659,101.70224475860596,83.60277136258661,2.088167053364269,433,431,3.1513761467889907,5.401376146788991,"[69, 70, 130, 170, 253, 304, 411, 416]"
last-row-paired,3.0,-3.0,149.36086082458496,21.488807797431946,8.135180354118347,99.57840156555176,84.06466512702079,2.5522041763341066,433,431,3.2224770642201834,5.871559633027523,"[50, 65, 69, 70, 80, 130, 170, 253, 304, 411, 416]"
last-row-paired,5.0,-5.0,160.74554240703583,17.54310441017151,8.085516929626465,75.84031569957733,85.84686774941996,5.995203836930456,431,417,4.146788990825688,12.034403669724771,"[5, 6, 10, 21, 47, 63, 65, 70, 80, 107, 130, 166, 170, 215, 243, 253, 256, 304, 314, 335, 365, 411, 416]"
last-row-paired,10.0,-10.0,113.62102156877518,5.5959755927324295,3.296812742948532,15.860187081620097,88.94348894348894,15.306122448979592,407,196,12.821100917431192,64.13532110091744,"[6, 10, 18, 63, 65, 89, 130, 160, 170, 202, 236, 239, 243, 246, 253, 256, 273, 278, 287, 323, 331, 357, 365, 378, 390, 401, 411, 415, 416, 417]"
