AblationType,Gamma,Lambda,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text,k_heads
last-row-paired,2.0,-2.0,140.75375485420227,29.84396329149604,7.196691632270813,105.7960376739502,81.10599078341014,1.6203703703703702,434,432,2.8807339449541285,4.894495412844036,"[69, 130, 253, 256, 411]",10
last-row-paired,2.5,-2.5,144.4342041015625,28.741608526557684,7.222892880439758,106.82153177261353,81.79723502304147,1.8518518518518516,434,432,2.8807339449541285,4.91743119266055,"[69, 130, 253, 256, 401, 411]",10
last-row-paired,3.0,-3.0,147.45606017112732,27.27347755432129,7.324728608131409,107.53456211090088,82.02764976958525,2.314814814814815,434,432,2.86697247706422,5.059633027522936,"[5, 69, 70, 130, 253, 256, 401, 411]",10
last-row-paired,-3.0,3.0,13.308372974395752,39.0217090845108,6.305155038833618,83.29692840576172,25.737265415549597,2.7906976744186047,373,430,27.272935779816514,6.327981651376147,"[1, 100, 120, 124, 194, 204, 256, 263, 357, 364]",20
last-row-paired,-2.5,2.5,21.5348641872406,43.47014832496643,6.469876050949097,87.2135763168335,33.08080808080808,1.8561484918793503,396,431,20.21559633027523,5.837155963302752,"[1, 100, 124, 204, 229, 256, 263, 357]",20
last-row-paired,-2.0,2.0,37.76002508401871,44.720054149627686,6.6618430614471436,90.62927627563477,42.89156626506024,1.8561484918793503,415,431,13.676605504587156,5.5963302752293576,"[1, 100, 124, 204, 229, 256, 263, 357]",20
last-row-paired,-1.0,1.0,91.92409908771515,39.1701255440712,6.95792555809021,96.06390380859375,68.28703703703704,1.3921113689095126,432,431,4.834862385321101,5.098623853211009,"[124, 204, 256, 263]",20
last-row-paired,-0.5,0.5,112.57422852516174,35.7133454978466,7.025216817855835,98.15658378601074,74.5958429561201,0.6944444444444444,433,432,3.6674311926605503,4.954128440366972,"[256, 263]",20
last-row-paired,0.0,-0.0,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[],20
last-row-paired,0.5,-0.5,129.79152035713196,31.009993702173233,7.125992298126221,101.22855997085571,79.03225806451613,0.6960556844547563,434,431,3.1123853211009176,4.8807339449541285,"[253, 411]",20
last-row-paired,1.0,-1.0,134.22870087623596,29.097639091312885,7.1649370193481445,102.06123161315918,80.64516129032258,1.160092807424594,434,431,3.0389908256880735,4.910550458715596,"[69, 70, 130, 253, 411]",20
last-row-paired,1.5,-1.5,137.93065333366394,27.4209753125906,7.219277858734131,102.52436208724976,82.02764976958525,1.8561484918793503,434,431,3.0596330275229358,4.965596330275229,"[69, 70, 130, 170, 253, 304, 411]",20
last-row-paired,2.0,-2.0,141.44906497001648,25.464736867696047,7.297543048858643,102.72444820404053,82.48847926267281,1.6241299303944314,434,431,3.1077981651376145,5.112385321100917,"[69, 70, 130, 170, 253, 304, 411]",20
last-row-paired,2.5,-2.5,145.50637257099152,23.265902787446976,7.591839551925659,101.70224475860596,83.60277136258661,2.088167053364269,433,431,3.1513761467889907,5.401376146788991,"[69, 70, 130, 170, 253, 304, 411, 416]",20
